,0,1
84,Tamsin Egerton,Roland Joffé
85,Keanu Reeves,Carl Rinsch
87,Jon Hamm,Mike Mitchell
88,Judy Greer,Brad Bird
89,Damon Wayans Jr.,Don Hall
90,Jack McBrayer,Rich Moore
92,Vivica A. Fox,
93,Gerard Butler,Dean DeBlois
94,Nick Stahl,Jonathan Mostow
95,Bradley Cooper,James Gunn
96,Matthew McConaughey,
98,Mark Chinnery,Hideaki Anno
100,Paul Walker,
101,Brad Pitt,David Fincher
102,,Matthew Vaughn
103,,Francis Lawrence
104,Nicolas Cage,Jon Turteltaub
105,,Wolfgang Petersen
106,,James Bobin
107,Justin Timberlake,Chris Miller
108,Dominic Cooper,Duncan Jones
109,,Alan Taylor
110,Bruce Spence,Michael Apted
111,Jennifer Garner,
112,Zack Ward,
113,Anthony Hopkins,Oliver Stone
114,Robert Pattinson,
119,Janeane Garofalo,
121,Bernie Mac,Eric Darnell
122,Robin Williams,Shawn Levy
123,,Gavin Hood
124,Essie Davis,
125,Josh Gad,Chris Buck
126,Steve Bastoni,
128,,George Miller
129,,Ron Howard
130,,Kenneth Branagh
131,,Byron Howard
132,Kelli Garner,Hoyt Yeatman
133,,Jonathan Liebesman
135,,Christopher McQuarrie
136,,Joe Johnston
138,Matthew Broderick,Steve Hickner
139,,Jennifer Yuh Nelson
140,Seychelle Gabriel,M. Night Shyamalan
141,Philip Seymour Hoffman,
143,Elisabeth Harnois,Simon Wells
144,,David Bowers
145,,Joe Wright
146,Ty Burrell,Rob Minkoff
148,Jada Pinkett Smith,
149,Toby Stephens,Lee Tamahori
150,Ed Begley Jr.,Paul Feig
151,Bruce Willis,
154,,Alessandro Carloni
156,,Peter Ramsey
157,John Michael Higgins,Dean Parisot
158,,Edward Zwick
163,,Alex Proyas
164,Sam Shepard,
165,Matt Frewer,
166,,Richard Donner
167,Kevin Rankin,Ang Lee
168,,Jon M. Chu
169,,Breck Eisner
170,,Hironobu Sakaguchi
171,Chris Evans,
172,Colin Salmon,
173,James D'Arcy,Peter Weir
174,,Bill Condon
176,,Louis Leterrier
177,Don Johnson,
178,Mark Rylance,
179,,Alejandro G. Iñárritu
180,,David Soren
183,Matt Damon,Paul Greengrass
184,,Mark Osborne
185,,Peyton Reed
188,Jim Parsons,Tim Johnson
191,Salma Hayek,
192,,Phillip Noyce
193,,Darren Aronofsky
194,Toby Jones,
195,Daniel Radcliffe,Alfonso Cuarón
198,Alfre Woodard,Eric Leighton
199,Rupert Grint,Matt Birch
201,,Tom McGrath
202,,Chris Columbus
203,,Robert Schwentke
209,Miguel Ferrer,Carlos Saldanha
212,,Guy Ritchie
214,Ronny Cox,Paul Verhoeven
215,Tony Curran,John McTiernan
216,Jeremy Renner,Tony Gilroy
217,Michael Gough,Joel Schumacher
218,Clint Howard,
220,,John Woo
221,Karen Allen,
222,,Tim Story
223,Suraj Sharma,
224,,Mark Steven Johnson
226,Demi Moore,
227,Michael Fassbender,
228,Nathan Lane,
229,,Neill Blomkamp
230,Vin Diesel,David Twohy
231,,José Padilha
232,Scott Porter,
233,Shelley Conn,James L. Brooks
234,,James Mangold
235,Morgan Freeman,
236,Natalie Portman,George Lucas
241,,Kirk De Micco
242,Alain Delon,Frédéric Forestier
244,,Cedric Nicolas-Troyan
245,Noel Fisher,
246,Phaldut Sharma,
247,Jamie Renée Smith,Roger Donaldson
248,Stephen Amell,Dave Green
249,Tim Blake Nelson,Josh Trank
251,Dwayne Johnson,Brad Peyton
252,Vincent Schiavelli,Roger Spottiswoode
253,Heath Ledger,
254,,Steven Soderbergh
256,Kate Winslet,
258,James Corden,
259,,Michel Gondry
260,George Peppard,
261,Eva Green,Noam Murro
262,Mahadeo Shivraj,Raja Gosnell
263,,Will Finn
266,Jacob Tremblay,
267,Jason Patric,Jan de Bont
269,,Len Wiseman
271,,Frank Coraci
272,,Michael Mann
273,Sean Hayes,Bo Welch
276,Chazz Palminteri,
277,Oprah Winfrey,Ron Clements
279,Mathew Buck,Christopher Barnard
281,Del Zamora,Peter Chelsom
282,,Dominic Sena
283,Djimon Hounsou,
287,Cary-Hiroyuki Tagawa,
288,Joe Morton,
290,Denzel Washington,
291,Jamie Lee Curtis,
292,,Tony Scott
293,Robert De Niro,Paul Weitz
294,,Adam McKay
295,Vanessa Williams,Chuck Russell
296,,Quentin Tarantino
297,,Gary Trousdale
298,Eartha Kitt,Mark Dindal
299,,Simon West
301,,Stefen Fangmeier
302,Catherine O'Hara,Spike Jonze
304,Josh Hutcherson,Chris Wedge
305,,Florian Henckel von Donnersmarck
306,,Peter Hyams
310,Jake Busey,
311,,Tom Tykwer
312,Abbie Cornish,
313,Frances Conroy,Pitof
316,Will Ferrell,Brad Silberling
317,,Patrick Hughes
318,Ray Winstone,Ericson Core
319,Jamie Kennedy,Lawrence Guterman
321,Rosario Dawson,Ron Underwood
323,Francesca Capaldi,Steve Martino
324,Ben Gazzara,David Mamet
327,,Yimou Zhang
328,,Ash Brannon
329,Jon Lovitz,Frank Oz
330,Ioan Gruffudd,
331,,Jay Roach
332,Milla Jovovich,Luc Besson
333,Chris Noth,Michael Patrick King
334,Frank Welker,Bibo Bergeron
336,Hayley Atwell,
337,Michael Imperioli,
338,Alexander Gould,
339,Orlando Bloom,
341,,Sergey Bodrov
343,,Wally Pfister
344,Michael Jeter,
345,James Franco,Rupert Wyatt
346,Martin Short,Mark Waters
347,,John Moore
348,Dennis Quaid,John Lee Hancock
349,Holly Hunter,
350,Christopher Masterson,Renny Harlin
351,Logan Lerman,
355,Mei Melançon,
357,Will Forte,Phil Lord
358,Denis Leary,
359,Adam Scott,Ben Stiller
360,Bill Murray,
362,Ming-Na Wen,Tony Bancroft
367,,Timur Bekmambetov
368,Leonard Nimoy,
369,Bella Thorne,Walt Becker
371,Adam Sandler,Dennis Dugan
373,Haley Joel Osment,
374,Marsha Thomason,
376,Greg Grunberg,
377,Curtiss Cook,Sydney Pollack
378,,Thor Freudenthal
381,Alun Armstrong,
383,Don Cheadle,Brian De Palma
384,Anne Hathaway,
386,,Mick Jackson
387,,Alan J. Pakula
388,,Kathryn Bigelow
390,William Smith,John Milius
391,Paddy Considine,
392,Shirley Henderson,Andrey Konchalovskiy
393,,Gary Ross
401,,Paul W.S. Anderson
402,,Genndy Tartakovsky
403,Jeff Bennett,Kevin Lima
404,Caroline Dhavernas,
405,,Daniel Espinosa
408,,Nancy Meyers
410,Meryl Streep,
411,Al Pacino,
412,Jon Favreau,Roger Allers
413,,Neil Burger
414,Bob Hoskins,Jean-Jacques Annaud
416,F. Murray Abraham,
417,Li Gong,
418,Amber Stevens West,
419,,Sarah Smith
420,,Martin Brest
421,Raymond Cruz,Andrew Davis
422,Roy Scheider,Bob Fosse
423,Julia Roberts,Tarsem Singh
424,Anna Kendrick,Edgar Wright
425,,Jon Amiel
426,Larry Miller,Peter Segal
427,Sarah Michelle Gellar,
428,Wood Harris,Pete Travis
430,Ted Danson,George A. Romero
432,Kristen Stewart,
433,Seth MacFarlane,
435,Robert Duvall,
437,,Sylvester Stallone
440,,Todd Phillips
443,Tia Carrere,
444,,Gary Winick
445,,Mimi Leder
453,,Seth Gordon
456,,Adam Shankman
459,Elden Henson,
461,,D.J. Caruso
462,,Anthony Minghella
463,,Albert Hughes
464,,Les Mayfield
466,,Joe Pytka
467,Roger Rees,
468,,Scott Derrickson
471,,Ivan Reitman
472,,Eric Brevig
473,,Kelly Asbury
475,,Stephen Hopkins
476,,Jonathan Demme
477,Vanessa Redgrave,Henry Jaglom
479,Elizabeth Montgomery,
480,Quincy Jones,James Algar
482,Charlize Theron,
484,Michael Emerson,
485,,Vincent Ward
486,,Steven Brill
487,,Terry Gilliam
489,Nissim Renard,Lucile Hadzihalilovic
492,Bruce Greenwood,
493,Sylvester Stallone,
494,Charlie Rowe,Barry Cook
495,Richard Tyson,Roger Christian
496,Brendan Fraser,Joe Dante
497,Fergie,
499,Olivia Williams,Kevin Costner
500,Adam Goldberg,
502,Bob Neill,Antony Hoffman
503,Mia Farrow,
504,Pedro Armendáriz Jr.,Jacques Perrin
505,David Oyelowo,
506,Sasha Roiz,
507,Sariann Monaco,Andrés Couturier
511,,Cody Cameron
515,,John Singleton
517,,Oliver Hirschbiegel
518,,Des McAnuff
519,Steve Coogan,Yarrow Cheney
520,Jason Flemyng,Stephen Norrington
521,Steve Carell,Pierre Coffin
523,Ariana Richards,
531,Jerry Stiller,
533,,David Kellogg
537,Harold Perrineau,
539,Nicholas Lea,
540,,Mike Nichols
542,Loretta Devine,
543,Adam Arkin,
544,,F. Gary Gray
545,Ayelet Zurer,
546,,Antoine Fuqua
547,Tom Selleck,Robert Luketic
550,,Gil Kenan
551,,Barry Levinson
552,Julia Ormond,Jerry Zucker
553,Bai Ling,Andy Tennant
555,,Florent-Emilio Siri
556,,Don Bluth
557,,Ron Shelton
558,Connie Nielsen,
559,Christopher Meloni,David Pastor
560,,Henry Selick
563,,Kyle Balda
566,Peter Coyote,
567,,Clay Kaytis
569,,Judd Apatow
572,Raven-Symoné,Steve Carr
573,Mhairi Calvey,Mel Gibson
575,Albert Brooks,David Silverman
576,Martin Landau,Frank Darabont
578,David Gant,
580,,Betty Thomas
581,Rory Culkin,
582,Rupert Everett,
584,,Garry Marshall
586,Tim Conway,Paul Tibbitt
587,Lili Taylor,
592,,Clark Johnson
593,Nicole Beharie,
594,,Cameron Crowe
596,Sanaa Lathan,
598,,Randall Wallace
600,LeVar Burton,Jonathan Frakes
603,David Hyde Pierce,
604,Jeremy Irvine,
605,,George Clooney
606,Michael Biehn,
607,Frank Langella,
608,,Gary Shore
614,,Andrzej Bartkowiak
615,Gary Cole,
616,Theo James,Måns Mårlind
617,James Martin Kelly,
618,,Gregory Hoblit
619,,Gary McKendry
620,LL Cool J,
621,Talisa Soto,Wych Kaosayananda
622,,Mikael Salomon
623,Ron Howard,Bobby Farrelly
624,Lea Michele,
626,,Kerry Conran
627,Charlotte Rampling,Michael Caton-Jones
628,,Mikael Håfström
629,Roxanne McKee,
630,,Phil Alden Robinson
631,,David Slade
634,Vincent Pastore,Joseph Ruben
635,,Seth MacFarlane
636,Max Minghella,Alejandro Amenábar
637,,Kinka Usher
638,Jenna Fischer,
640,Michael Raymond-James,Craig Gillespie
643,Rufus Sewell,
644,Will Patton,
645,Hector Elizondo,
646,,Rob Bowman
647,Colin Firth,Doug Lefler
649,Rami Malek,Scott Waugh
651,Goran Visnjic,
652,,Lawrence Kasdan
657,Judge Reinhold,Michael Lembeck
658,,Tom Hooper
659,,Nora Ephron
663,Finn Wittrock,Angelina Jolie Pitt
664,Clint Eastwood,Clint Eastwood
666,Delroy Lindo,
670,Sayed Badreya,Larry Charles
671,,Stanley Kubrick
672,Quvenzhané Wallis,Will Gluck
673,,Glenn Ficarra
675,,David S. Goyer
676,Lea Thompson,
677,Maura Tierney,
680,Melina Kanakaredes,
681,Pamela Reed,Taylor Hackford
686,,Michael Lehmann
687,Michael Rapaport,
688,Caitlin Stasey,Stuart Beattie
689,Ian McNeice,Roman Polanski
691,,Frank Miller
693,Michael Kelly,Baltasar Kormákur
694,Michael Smiley,
695,Verne Troyer,
697,Wayne Knight,
700,Si Won Choi,Daniel Lee
701,,Keenen Ivory Wayans
703,Shawna Waldron,Rob Reiner
704,,Marco Schnabel
705,,Demian Lichtenstein
706,Craig Stark,
707,,Josh Gordon
708,,Tim Hill
711,Eric Dane,David Frankel
713,Jill Hennessy,
715,Patrick Fugit,
717,Izabella Scorupco,
718,Daniel von Bargen,
719,Natascha McElhone,
720,,Brenda Chapman
721,Anjelica Huston,
723,Carol Ann Susi,
725,Dorian Missick,Marc Lawrence
727,,Peter Billingsley
729,Taylor Lautner,
730,Ki Hong Lee,Wes Ball
731,,Ryan Murphy
735,,Robert Redford
738,Billy Burke,Jay Russell
741,Misha Gabriel Hamilton,Kenny Ortega
743,Estella Warren,David McNally
744,Jennifer Saunders,
745,Zooey Deschanel,
747,,Brian Robbins
748,Snoop Dogg,
749,Jim Belushi,Brian Levant
750,James Babson,
751,,Steven Zaillian
752,,Chris Butler
754,Ivana Milicevic,
755,,Jon Avnet
756,Emma Watson,Sam Fell
757,Bianca Kajlich,
758,Romany Malco,Kevin Donovan
759,Peter Greene,Geoff Murphy
760,Colm Feore,
761,,David O. Russell
762,,Babak Najafi
763,Gary Dourdan,Jean-Pierre Jeunet
764,Tate Donovan,
765,Isaac Hempstead Wright,Graham Annable
766,,Griffin Dunne
768,Eileen Brennan,John Pasquin
770,Ryan Gosling,Ruben Fleischer
771,Olivia Wilde,Harold Ramis
773,,Kevin Macdonald
775,Steven Anthony Lawrence,Donald Petrie
776,Blair Brown,
777,,Jorge Blanco
778,,Stuart Baird
779,Cedric the Entertainer,Joel Coen
780,,Robert Lorenz
781,Bojana Novakovic,
782,John Kapelos,
785,,Harold Becker
790,Sunny Mabrey,
791,Josh Wingate,Scott Stewart
792,,Patrick Gilmore
793,Sean Pertwee,
797,,Tony Bill
798,Clifton Collins Jr.,Rod Lurie
799,Robert Forster,Walter Hill
800,Matt Bomer,Akiva Goldsman
801,,Harald Zwart
802,Marc Blucas,
803,Dougray Scott,Walter Salles
805,,Iain Softley
807,,David Koepp
808,,Uwe Boll
810,,Pou-Soi Cheang
811,,John Dahl
812,,Tim Miller
813,Kelly Preston,Stephen Herek
815,Odeya Rush,
816,Nate Richert,
817,Jon Heder,
818,Taylor Negron,
819,,Peter MacDonald
820,Robert Baker,
825,,Anthony Hemingway
828,,Sean Anders
831,,Mark Neveldine
832,,John Madden
833,Barry Corbin,
835,,Kevin Bray
837,Jesse McCartney,
839,,Mike Gabriel
840,Marlon Brando,
843,,Sam Weisman
844,Alyson Hannigan,Jesse Dylan
846,Mila Kunis,
847,Eric Idle,
849,,Wayne Wang
851,,Gabriele Muccino
852,Erika Christensen,
855,David Carradine,
857,Christopher Judge,
861,Xander Berkeley,Tom Dey
863,Madeline Carroll,
865,,Jimmy Hayward
866,Charles S. Dutton,
867,Andrea Corr,Alan Parker
868,,John Frankenheimer
869,Tom Wilkinson,
870,Julie Walters,Paul King
871,,Akiva Schaffer
872,,William Friedkin
875,,Kent Alterman
876,,Peter Lord
881,Eddie Redmayne,Shekhar Kapur
882,,Karyn Kusama
883,Billy Campbell,Ron Maxwell
884,,Robert Butler
885,Stephen Root,Karey Kirkpatrick
887,Sophia Myles,
888,,Steve Antin
889,Denis Lavant,
890,James Mason,
891,,Jim Gillespie
892,Norman Reedus,
895,,Francis Ford Coppola
897,Todd Stashwick,
898,Margot Kidder,Richard Lester
899,Todd Giebenhain,
902,Kirsten Dunst,
905,,Scott Cooper
908,Quentin Tarantino,Robert Rodriguez
910,,Curtis Hanson
912,Jennifer Ehle,
914,,Phyllida Lloyd
916,Alice Greczyn,Jay Chandrasekhar
917,,Terrence Malick
918,,David Dobkin
919,Matt Price,Milos Forman
921,Kasia Smutniak,Pierre Morel
922,Jaime King,Paul Hunter
924,Rob Paulsen,Steve Oedekerk
925,,John Whitesell
927,Kathleen Freeman,
928,,George Nolfi
932,Lupe Ontiveros,
936,Joel Courtney,
940,,Neil Jordan
942,,Rawson Marshall Thurber
946,,Spike Lee
947,Bill Duke,Brian Helgeland
948,Dylan Walsh,Frank Marshall
952,,Hideo Nakata
954,,Peter Hewitt
955,,Joe Roth
956,,Bennett Miller
958,,Jaume Collet-Serra
959,,Andy Fickman
960,,James McTeigue
961,Fann Wong,
962,Bernard Hill,
963,,Matthew O'Callaghan
964,Scoot McNairy,Angela Robinson
965,,Gary Fleder
966,,Tommy Wirkola
967,Olivier Martinez,Adrian Lyne
968,Alex Pettyfer,
969,,Stephen Gaghan
971,,Jorge R. Gutiérrez
972,,Richard Loncraine
974,Viggo Mortensen,
975,Deborah Kara Unger,
976,Radha Mitchell,Christophe Gans
977,,Howard Deutch
978,,Jon Hurwitz
980,Matt Walsh,Steven Quale
981,Louis Lombardi,John Landis
984,Armin Mueller-Stahl,
985,,Alexander Witt
986,,Beeban Kidron
987,,Carl Franklin
988,Mike Starr,Steven Seagal
990,,Danny Boyle
991,Amber Valletta,
992,Shô Kosugi,
994,David Jason,
995,,Andrew Bergman
998,,Barbet Schroeder
999,Muse Watson,
1000,,Peter Webber
1002,J.D. Evermore,Andrew Niccol
1006,,John Carpenter
1007,Grey Damon,
1009,,Wes Anderson
1012,Christina Milian,
1014,,David Cronenberg
1015,,John Stockwell
1016,Paul Brooke,
1017,,David Gordon Green
1018,,Jim Sheridan
1019,Mia Kirshner,Costa-Gavras
1020,,Patrick Read Johnson
1023,Julie Benz,
1024,Ian Ziering,
1027,Alden Ehrenreich,Richard LaGravenese
1028,,Danny DeVito
1030,,George Armitage
1032,,Patrick Lussier
1033,Chris Klein,
1034,,James Wong
1035,Tobias Menzies,
1036,Lauren Holly,
1037,,Richard Curtis
1038,Michael O'Neill,
1044,P.J. Soles,Chuck Bowman
1047,Corinna Harney,
1053,,Olivier Megaton
1056,Nandita Das,Deepa Mehta
1057,Charlie Korsmo,Warren Beatty
1058,Mark Margolis,
1059,Rosie Perez,Penny Marshall
1060,,Ted Kotcheff
1061,Donatas Banionis,Andrei Tarkovsky
1062,,Paul Bolger
1063,,Stephen Frears
1064,,P.J. Hogan
1071,Joseph Gilgun,Brad Furman
1072,Laurence Olivier,Terence Young
1073,Jonathan Winters,
1075,Regina Hall,David Zucker
1076,Candice Bergen,
1080,Bradley Whitford,
1084,,Denis Villeneuve
1087,Natasha Lyonne,
1088,Bill Cobbs,
1090,,Thomas Carter
1091,Sydney Pollack,Roger Michell
1092,,Luis Llosa
1093,Adam Garcia,
1099,Lucille Ball,Melville Shavelson
1101,,Garth Jennings
1102,Dania Ramirez,Joel Zwick
1103,,Russell Mulcahy
1108,Demián Bichir,
1109,Richard Burgi,David R. Ellis
1110,Kevin McNally,Peter Howitt
1111,,John A. Davis
1112,Virginia Madsen,David Lynch
1113,Jim Sturgess,Julie Taymor
1116,,Mathieu Kassovitz
1117,Alexa PenaVega,John Gray
1118,John de Lancie,
1119,Malese Jow,John Schultz
1120,Costas Mandylor,Sean Penn
1121,,Susan Stroman
1123,,Simon Wincer
1124,,Billy Bob Thornton
1130,,Danny Pang
1132,Marcela Mar,
1133,Pierre Perrier,
1134,Sam Waterston,George P. Cosmatos
1135,Daniel Kaluuya,Oliver Parker
1136,,Lawrence Kasanoff
1137,Clea DuVall,Ben Affleck
1142,,Brian Gibson
1143,Mel Blanc,Norman Ferguson
1144,,Michael Cimino
1146,,Paul McGuigan
1147,,Gus Van Sant
1150,Judith Chapman,Roger Kumble
1152,Augustus Prew,Burr Steers
1156,Imelda Staunton,
1157,,John Hamburg
1158,John Witherspoon,Reginald Hudlin
1160,,Joseph L. Mankiewicz
1163,,Barbra Streisand
1164,Debra Messing,Mark Pellington
1165,Bono,
1166,Robert Davi,John Glen
1167,,Catherine Hardwicke
1168,,John Herzfeld
1169,,Annabel Jankel
1172,Fisher Stevens,Julie Anne Robinson
1173,,Evan Goldberg
1174,Tony Cox,Sngmoo Lee
1176,Omar Sy,
1177,Mekhi Phifer,
1178,Jamel Debbouze,Jamel Debbouze
1180,Julian Sands,Gordon Chan
1182,Robert Clohessy,Asger Leth
1183,Joel McHale,
1184,Martin Kove,John G. Avildsen
1186,,Anne Fletcher
1187,,Bruce Beresford
1190,,Sam Taylor-Johnson
1193,Tom Welling,
1194,Jerry Ferrara,
1196,Javier Botet,
1197,Andrew Garfield,
1198,Carmen Perez,Ken Kwapis
1199,Beau Mirchoff,
1200,Kelly Rutherford,Wes Craven
1202,,Etan Cohen
1210,Olivia Munn,
1211,Wes Studi,
1212,Bokeem Woodbine,
1216,Jason Alexander,
1217,Sally Kirkland,
1221,Matthew Perry,
1222,,Nick Cassavetes
1223,Krista Allen,
1225,Joaquim de Almeida,
1226,Pink,Nicholas Stoller
1227,Lisa Ann Walter,
1229,Michael Jai White,Mark A.Z. Dippé
1235,,Cal Brunker
1236,Rudy Youngblood,
1237,Joe Don Baker,
1238,Topher Grace,Nimród Antal
1239,Brian Dennehy,
1241,,Alejandro Agresti
1242,Gena Rowlands,
1243,,Peter Hedges
1244,Busy Philipps,Paul Weiland
1245,Johnny Cannizzaro,
1249,Lorraine Bracco,
1250,Sam Trammell,Colin Strause
1251,Macaulay Culkin,
1252,,Joan Chen
1254,Bobby Lee,Greg Mottola
1255,Miriam Margolyes,
1256,Alison Brie,
1258,Michael Wincott,
1259,James Wilcox,Jake Kasdan
1260,,Diane Keaton
1261,Emma Bell,
1262,,Kelly Makin
1264,Jimmy Fallon,
1265,Bruce Dinsmore,
1269,,Stephen Daldry
1270,Noah Bean,
1271,50 Cent,
1272,,Christian Duguay
1275,Oliver Hudson,
1277,Catherine Deneuve,
1278,,Justin Chadwick
1279,,Pat O'Connor
1280,Stephen Rea,
1283,Jordi Mollà,
1284,,Frederik Du Chau
1286,Mira Sorvino,Irwin Winkler
1287,Dane Cook,Joseph Kahn
1289,Bobbie Phillips,
1290,,Sofia Coppola
1292,,Stephen Kay
1293,,J.A. Bayona
1294,Carol Kane,Elaine May
1297,Richard Epcar,
1298,Mathieu Kassovitz,
1299,Mary-Kate Olsen,Dennie Gordon
1300,Omar Epps,Charles Shyer
1302,,Ulu Grosbard
1303,,William Malone
1306,Justin Theroux,
1307,,Malcolm D. Lee
1308,M. Emmet Walsh,Jerry Jameson
1309,,Mic Rodgers
1310,,Christian Alvart
1313,Bridgette Wilson-Sampras,Jean-Marie Poiré
1315,John Gatins,
1316,,Marc F. Adler
1318,,Geoffrey Sax
1319,Sarah Roemer,
1321,James Brolin,Richard Shepard
1322,Jennifer Jason Leigh,
1323,,Peter Ho-Sun Chan
1324,Jay Hernandez,
1325,,Joon-ho Bong
1327,,Jeff Nathanson
1329,Tamannaah Bhatia,S.S. Rajamouli
1330,Arliss Howard,
1331,Colin Ferguson,
1334,Adam Baldwin,
1335,,Charles S. Dutton
1338,Takeshi Kaneshiro,
1339,Ethan Embry,
1341,Austin Pendleton,Jonathan Lynn
1343,,David Carson
1344,Tony Chiu Wai Leung,Kar-Wai Wong
1347,Blythe Auffarth,Yuefeng Song
1348,,Norman Jewison
1350,Sarah Silverman,David Mirkin
1351,D.B. Woodside,
1352,Sonia Braga,Luis Mandoki
1356,Beth Grant,
1357,Mo'Nique,Lee Daniels
1359,Wilford Brimley,
1361,Gregory Scott Cummins,Jeb Stuart
1362,Tom Skerritt,Steve Miner
1364,Mike Howard,Paul Thomas Anderson
1365,Hayden Christensen,David Leland
1367,,J Blakeson
1368,,Ryan Coogler
1370,,Kirk Jones
1371,,Ethan Coen
1372,,Jennifer Flackett
1374,Patton Oswalt,
1375,,Kevin Smith
1376,,Christian Ditter
1377,,Charles Martin Smith
1381,Laura-Leigh,
1382,Yuliya Snigir,Fedor Bondarchuk
1383,Kathleen Quinlan,
1384,Bernie Casey,Irvin Kershner
1385,Charlie McDermott,Steve Pink
1391,Rick Yune,Scott Hicks
1393,Blair Underwood,
1394,Stockard Channing,
1395,Cheryl Hines,
1396,,Chris Rock
1398,Mike Tyson,Wilson Yip
1402,Rene Russo,
1403,Catherine Dyer,
1404,Jon Foo,
1409,,Robert Wise
1413,Amy Schumer,
1414,,Kevin Rodney Sullivan
1417,Michael Angarano,
1419,Natasha Henstridge,
1421,Dylan Baker,
1423,Scott Glenn,
1424,,Kevin Munroe
1425,,Michael Tollin
1430,Charlyne Yi,
1432,Craig Parker,Patrick Tatopoulos
1435,,Gary David Goldberg
1438,Heather O'Rourke,Tobe Hooper
1442,Danneel Ackles,Alan Poul
1443,Ashley Williams,Luke Greenfield
1444,Jodi Lyn O'Keefe,
1445,,Gil Junger
1446,Tatum O'Neal,Michael Ritchie
1447,,Steven E. de Souza
1448,Emilia Fox,
1450,Keisha Castle-Hughes,
1451,Robert Ri'chard,
1454,,Alexandre Aja
1455,Aaliyah,Michael Rymer
1458,,Hugh Wilson
1459,Brian Blessed,Mike Hodges
1461,Cicely Tyson,
1463,,Scott Mann
1464,Daniel Mays,Susanna White
1465,Frank Whaley,
1466,Mitch Pileggi,Chris Carter
1467,,Tommy O'Haver
1468,,Peter Landesman
1469,Ken Arnold,
1470,,Gary Chapman
1472,Drake Bell,Craig Mazin
1473,Alona Tal,Allen Hughes
1474,Shannon Elizabeth,
1476,Jim Gaffigan,
1481,Alex Russell,Kimble Rendall
1482,,Peter Yates
1484,Rosanna Arquette,
1485,Tim Meadows,
1486,,Lasse Hallström
1487,Gregory Smith,
1488,Michiel Huisman,Jean-Marc Vallée
1491,Paul Sorvino,Hark Tsui
1492,Mireille Enos,
1494,,Lexi Alexander
1495,Kevin Zegers,
1497,Marley Shelton,Ronny Yu
1498,Archie Panjabi,
1499,Ruth Wilson,
1502,,Bille August
1504,Oliver Reed,Moustapha Akkad
1505,,Jean-Paul Rappeneau
1506,Jeremy W. Auman,
1507,Maricel Álvarez,
1509,,Joachim Rønning
1510,,Tony Kaye
1512,,Ken Scott
1513,Richard E. Grant,
1515,David Paymer,Hugh Johnson
1517,Rumi Hiiragi,Hayao Miyazaki
1518,Tiago Riani,George Tillman Jr.
1519,,Rand Ravich
1520,Liam Aiken,Hugh Hudson
1522,Terry Pheto,
1526,Nia Long,
1527,Kyle Hebert,Jeremy Degruson
1528,,Chris Gorak
1529,Ryan Guzman,Scott Speer
1530,Lin Shaye,
1531,,Joe Charbanic
1532,Laura Harring,Jonathan Hensleigh
1533,,Danny Cannon
